Gender,Experience,DevType,TeamSize,Roles,ConflictFreq,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,51+ developers,[Software Engineer/Developer],A few times a month,A moderate amount,A lot,A lot,A lot,A moderate amount,A little,A lot,A moderate amount,A lot,[Resolution time],Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,Yes,"[Team awareness issues, Project size/scale, Project structure issues]",A great deal,A lot,A great deal,A moderate amount,A great deal,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Manager]",A few times a month,A little,A little,A little,A little,A little,A little,A moderate amount,Not at all,A moderate amount,"[Lines of code, Number of files]",Sometimes,,,,Mostly Trivial,Somewhat Difficult,Somewhat Difficult,No,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11-15 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,Not at all,A moderate amount,A lot,A lot,A lot,A little,A great deal,A lot,A lot,[Lines of code],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,No,[],A lot,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A lot,A lot,A great deal,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Project Maintainer]",A few times a week,A lot,A lot,A lot,A little,A moderate amount,Not at all,A little,A moderate amount,A moderate amount,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,No,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11-15 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Systems Engineer, Project Manager, System Architect, DevOps]",A few times a week,Not at all,A moderate amount,A great deal,A little,A great deal,A little,Not at all,A little,A little,"[Lines of code, Number of files, Resolution time]",Sometimes,,,,Trivial,Mostly Trivial,Difficult,Maybe,"[Project size/scale, Project structure issues, Other]",A little,A little,A moderate amount,A little,A great deal,A great deal,Not at all,Not at all,Not at all,A little,No,,Visual Studio and diffuse,Rarely,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Completely,Not Useful,Very Useful,Moderately Useful,Essential,Moderately Useful,Not Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, DevOps]",A few times a month,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,Not at all,A little,A little,A great deal,"[Lines of code, Number of files]",Yes,Trivial,Mostly Trivial,Somewhat Difficult,,,,Maybe,"[Team awareness issues, Project size/scale]",A great deal,A moderate amount,Not at all,A moderate amount,A little,Not at all,A little,A moderate amount,Not at all,A great deal,,,git diff,Sometimes,Extremely Effective,Extremely Effective,Moderately effective,Slightly effective,Moderately effective,Moderately effective,,A lot,Slightly Useful,Slightly Useful,Essential,Essential,Slightly Useful,Not Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,A great deal,A lot,A lot,A little,A moderate amount,A little,A lot,A moderate amount,A great deal,[Resolution time],Yes,Trivial,Mostly Trivial,Difficult,,,,No,[],A great deal,A moderate amount,Not at all,A little,A moderate amount,Not at all,Not at all,A little,A little,A great deal,,,"vimdiff, git",Never,Extremely Effective,Very effective,Very effective,Slightly effective,Moderately effective,Extremely Effective,,A lot,Slightly Useful,Slightly Useful,Moderately Useful,Moderately Useful,Very Useful,Slightly Useful
Male,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a year,A moderate amount,A moderate amount,A little,A little,A little,A moderate amount,A moderate amount,A little,A moderate amount,"[Number of files, Resolution time]",Yes,Trivial,Mostly Trivial,Somewhat Difficult,,,,No,[],A lot,A moderate amount,A lot,A little,A moderate amount,A lot,Not at all,A little,A little,A great deal,,,"git, vim",Rarely,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Slightly effective,Slightly effective,,A moderate amount,Moderately Useful,Very Useful,Moderately Useful,Very Useful,Moderately Useful,Slightly Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a month,Not at all,A lot,A moderate amount,A lot,A moderate amount,Not at all,Not at all,Not at all,A little,[Lines of code],Yes,Trivial,Mostly Trivial,Somewhat Difficult,,,,No,[],A lot,A lot,A little,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,,Basic git merge conflict annotation.,Never,Very effective,Moderately effective,Very effective,Moderately effective,Moderately effective,Moderately effective,,A lot,Not Useful,Not Useful,Not Useful,Not Useful,Not Useful,Not Useful
NA,11-15 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a year,A moderate amount,A little,A lot,A moderate amount,A lot,Not at all,A great deal,A moderate amount,A great deal,[Resolution time],Yes,Somewhat Difficult,Somewhat Difficult,Difficult,,,,No,[],A lot,A great deal,A little,A moderate amount,A moderate amount,A little,A moderate amount,A great deal,A great deal,A great deal,,,"git, diff, proprietary tools",Never,Very effective,Very effective,Moderately effective,Moderately effective,Moderately effective,Very effective,,A lot,Slightly Useful,Slightly Useful,Slightly Useful,Slightly Useful,Slightly Useful,Slightly Useful
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Project Maintainer, System Architect]",A few times a year,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, DevOps]",Once a month,A little,A little,A moderate amount,A little,A lot,A moderate amount,A lot,A great deal,A lot,[Number of files],Yes,Trivial,Mostly Trivial,Mostly Trivial,,,,No,[],A moderate amount,A great deal,A little,A moderate amount,A moderate amount,A lot,A little,A moderate amount,A little,A great deal,,,"diff, 'git status', IDE or text editor",Sometimes,Extremely Effective,Extremely Effective,Extremely Effective,Very effective,Moderately effective,Extremely Effective,,A lot,Moderately Useful,Moderately Useful,Moderately Useful,Very Useful,Moderately Useful,Slightly Useful
Male,26+ years,Closed-Source Projects,11-50 developers,"[Software Engineer/Developer, Systems Administrator, Project Maintainer, Project Manager, System Architect]",A few times a week,A moderate amount,A moderate amount,A lot,A lot,A lot,A moderate amount,A little,A moderate amount,A moderate amount,"[Number of files, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Not Worth Solving,,,,Maybe,"[Deadlines, Team awareness issues, Project size/scale, Project structure issues, Other]",A moderate amount,A great deal,A moderate amount,A great deal,A moderate amount,A lot,A great deal,A great deal,A lot,A lot,Yes,"if version of dependency is fixed in a backward-compatible release line, features which use a new version of that dependency are very difficult to add.","mostly vim and tkdiff, along with read-only enlistments of multiple branches for exploration.",Often,Extremely Effective,Moderately effective,Slightly effective,Not effective at all,Moderately effective,Moderately effective,,A moderate amount,Slightly Useful,Moderately Useful,Very Useful,Slightly Useful,Moderately Useful,Moderately Useful
Female,1-5 years,Closed-Source Projects,11-50 developers,[Software Engineer/Developer],A few times a week,A moderate amount,Not at all,A lot,Not at all,A moderate amount,Not at all,A little,A little,A moderate amount,"[Lines of code, Resolution time]",Sometimes,,,,Mostly Trivial,Mostly Trivial,Somewhat Difficult,Maybe,"[Deadlines, Project structure issues]",A great deal,A lot,Not at all,A little,Not at all,Not at all,Not at all,A little,A little,A lot,,,"git, vim, build/make tools",Never,Very effective,Very effective,Very effective,Very effective,Very effective,Very effective,Not effective at all,A lot,Not Useful,Not Useful,Not Useful,Slightly Useful,Not Useful,Not Useful
Male,1-5 years,I split my time evenly,1 developer,[Software Engineer/Developer],A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,11-15 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, DevOps]",A few times a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,I split my time evenly,1 developer,[Software Engineer/Developer],A few times a month,A moderate amount,A lot,A lot,A great deal,A lot,Not at all,A moderate amount,A moderate amount,A little,[Lines of code],Yes,Somewhat Difficult,Difficult,Not Worth Solving,,,,Maybe,"[Deadlines, Team awareness issues]",A lot,A great deal,A lot,A little,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,A moderate amount,,,"Git, diff",Sometimes,Very effective,Slightly effective,Not effective at all,Not effective at all,Slightly effective,Moderately effective,,A lot,Very Useful,Very Useful,Slightly Useful,Slightly Useful,Very Useful,Moderately Useful
Male,6-10 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],A few times a month,A lot,A moderate amount,A lot,A moderate amount,A lot,A little,A lot,A moderate amount,A moderate amount,[Resolution time],Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,Maybe,[Project structure issues],A lot,A lot,A moderate amount,A great deal,A moderate amount,A little,A lot,A moderate amount,A little,A lot,,,kdiff,Rarely,Extremely Effective,Very effective,Moderately effective,Moderately effective,Slightly effective,Very effective,,A lot,Moderately Useful,Moderately Useful,Moderately Useful,Moderately Useful,Very Useful,Moderately Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a year,A little,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A little,A moderate amount,[Lines of code],Sometimes,,,,Trivial,Mostly Trivial,Somewhat Difficult,Yes,"[Deadlines, Team awareness issues, Project size/scale, Project structure issues]",A lot,A lot,Not at all,A little,A moderate amount,Not at all,Not at all,A moderate amount,A little,A lot,,,"git, eclipse",Rarely,Very effective,Very effective,Moderately effective,Slightly effective,Slightly effective,Very effective,,Completely,Slightly Useful,Moderately Useful,Not Useful,Slightly Useful,Very Useful,Not Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,A little,A lot,A moderate amount,A little,A little,A great deal,Not at all,Not at all,A little,[Lines of code],No,,,,,,,No,[],A little,A lot,Not at all,Not at all,A moderate amount,Not at all,A lot,Not at all,A lot,A little,,,,Rarely,Slightly effective,Slightly effective,Not effective at all,Not effective at all,Not effective at all,Moderately effective,,A moderate amount,Not Useful,Very Useful,Very Useful,Moderately Useful,Essential,Slightly Useful
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, DevOps]",A few times a month,A little,A little,A great deal,Not at all,A great deal,Not at all,A lot,Not at all,A great deal,[Resolution time],Yes,Trivial,Mostly Trivial,Difficult,,,,No,[],A great deal,A great deal,A moderate amount,A great deal,A lot,A little,A moderate amount,A great deal,A great deal,A great deal,,,Emacs + Ediff + Git-time-machine,Often,Extremely Effective,Extremely Effective,Moderately effective,Moderately effective,Extremely Effective,Extremely Effective,,A lot,Not Useful,Not Useful,Essential,Moderately Useful,Essential,Not Useful
Male,16-20 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Systems Engineer, DevOps]",A few times a week,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A great deal,"[Lines of code, Number of files, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Maybe,"[Team awareness issues, Project structure issues, Project rules]",A lot,A lot,A lot,A lot,A lot,A lot,A little,A lot,A lot,A lot,,,"merge utilty - winmerge, integrated tool in ide",Rarely,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,,A moderate amount,Very Useful,Very Useful,Very Useful,Very Useful,Very Useful,Very Useful
Male,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a month,A lot,A lot,A lot,A moderate amount,A lot,A little,A moderate amount,A moderate amount,A moderate amount,"[Lines of code, Resolution time]",Yes,Somewhat Difficult,Difficult,Difficult,,,,Maybe,"[Team awareness issues, Project structure issues]",A lot,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A little,A lot,,,I usually try to just replay my or their commits manually before retrying a merge/rebase (git) to minimize the conflict.,Never,Moderately effective,Moderately effective,Not effective at all,Not effective at all,Not effective at all,Slightly effective,,A little,Moderately Useful,Very Useful,Moderately Useful,Very Useful,Very Useful,Moderately Useful
Female,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,"[Lines of code, Resolution time]",Yes,Trivial,Mostly Trivial,Somewhat Difficult,,,,Maybe,"[Deadlines, Team awareness issues, Project size/scale]",A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,,,meld,Often,Extremely Effective,Very effective,Very effective,Moderately effective,Moderately effective,Slightly effective,,A moderate amount,Slightly Useful,Slightly Useful,Slightly Useful,Moderately Useful,Slightly Useful,Slightly Useful
Male,6-10 years,I split my time evenly,2-5 developers,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager, System Architect]",A few times a month,A moderate amount,A great deal,A lot,A great deal,A little,A little,A moderate amount,Not at all,A moderate amount,"[Lines of code, Number of files]",Sometimes,,,,Trivial,Somewhat Difficult,Difficult,Yes,"[Team awareness issues, Project size/scale, Project structure issues]",A great deal,A lot,Not at all,A little,A little,A little,A lot,A moderate amount,A lot,A great deal,No,,"git, atom, vim, github",Sometimes,Extremely Effective,Moderately effective,Slightly effective,Not effective at all,Slightly effective,Extremely Effective,,A lot,Slightly Useful,Essential,Essential,Moderately Useful,Essential,Slightly Useful
Male,6-10 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, System Architect, DevOps]",A few times a week,A moderate amount,A great deal,A great deal,A lot,A lot,A moderate amount,A lot,A little,A moderate amount,[Resolution time],Sometimes,,,,Mostly Trivial,Difficult,Not Worth Solving,Maybe,"[Team awareness issues, Project structure issues]",A lot,A great deal,A lot,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A moderate amount,,,WinMerge,Sometimes,Extremely Effective,Extremely Effective,Very effective,Very effective,Slightly effective,Slightly effective,,A moderate amount,Essential,Very Useful,Very Useful,Essential,Very Useful,Very Useful
Male,6-10 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Other]",A few times a month,A great deal,A little,A moderate amount,A moderate amount,A moderate amount,A lot,A little,A great deal,A moderate amount,"[Lines of code, Number of files]",Sometimes,,,,Trivial,Somewhat Difficult,Difficult,No,[],A great deal,A lot,A great deal,A little,A great deal,A great deal,A moderate amount,A lot,A great deal,A moderate amount,,,"Meld,gitg,gitkraken",Rarely,Extremely Effective,Extremely Effective,Extremely Effective,Very effective,Very effective,Extremely Effective,,A lot,Very Useful,Essential,Very Useful,Very Useful,Moderately Useful,Very Useful
Male,11-15 years,I split my time evenly,6-10 developers,[Other],A few times a year,A moderate amount,A moderate amount,A moderate amount,A little,A moderate amount,A lot,A little,A moderate amount,A little,"[Lines of code, Number of files, Resolution time]",Sometimes,,,,Trivial,Somewhat Difficult,Difficult,No,[],A little,A moderate amount,A moderate amount,Not at all,A moderate amount,A moderate amount,A little,A little,A little,A little,,,WinMerge and Gitbash,Rarely,Very effective,Very effective,Moderately effective,Moderately effective,Slightly effective,Moderately effective,,A moderate amount,Very Useful,Very Useful,Very Useful,Very Useful,Essential,Moderately Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Every day,A little,A moderate amount,A little,A moderate amount,A lot,A great deal,A lot,A moderate amount,A moderate amount,[Resolution time],Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,No,[],A moderate amount,A moderate amount,Not at all,A lot,A little,Not at all,A little,A little,A moderate amount,A great deal,,,"text editor, terminal, database importer, binary generators",Often,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Very effective,,A lot,Slightly Useful,Moderately Useful,Not Useful,Moderately Useful,Moderately Useful,Moderately Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, DevOps]",A few times a week,Not at all,A moderate amount,A great deal,A moderate amount,A great deal,A little,A great deal,A great deal,A great deal,"[Lines of code, Number of files, Resolution time]",Yes,Trivial,Mostly Trivial,Difficult,,,,No,[],A great deal,A great deal,A lot,A little,A lot,A great deal,Not at all,A great deal,A little,A great deal,,,"tig, 3-way diffs generated by git, sublime text 3.",Never,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,,Completely,Not Useful,Very Useful,Very Useful,Slightly Useful,Not Useful,Not Useful
Male,11-15 years,Open-Source Projects,1 developer,[Software Engineer/Developer],A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],Once a week,A moderate amount,A lot,A lot,A little,A lot,A little,A lot,Not at all,A little,"[Lines of code, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Yes,"[Deadlines, Project size/scale, Project structure issues, Other]",A moderate amount,A lot,A little,A moderate amount,A little,A little,A little,A little,A moderate amount,A lot,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Open-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,A moderate amount,A lot,A little,A little,A moderate amount,A little,A little,A moderate amount,A moderate amount,[Lines of code],Yes,,,,,,,Maybe,[Team awareness issues],A lot,A lot,A lot,A lot,A moderate amount,A lot,A little,A little,A lot,A lot,,,,Never,Slightly effective,Not effective at all,Not effective at all,Not effective at all,Not effective at all,Not effective at all,,A little,Slightly Useful,Slightly Useful,Very Useful,Slightly Useful,Moderately Useful,Slightly Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a week,A moderate amount,A moderate amount,A lot,A lot,A lot,A little,A moderate amount,A little,A moderate amount,"[Number of files, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Maybe,"[Project size/scale, Project rules]",A lot,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,,"Git, IntelliJ IDE",Rarely,Extremely Effective,Very effective,Very effective,Moderately effective,Slightly effective,Moderately effective,,A moderate amount,Slightly Useful,Very Useful,Very Useful,Very Useful,Very Useful,Moderately Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,11-15 years,I split my time evenly,11-50 developers,[DevOps],A few times a week,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A moderate amount,A great deal,A moderate amount,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Maybe,"[Deadlines, Project structure issues]",A lot,A moderate amount,A little,A lot,A lot,A little,A great deal,A great deal,A lot,A lot,,,"Gitlab, commandline diff tooling.",Sometimes,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,A lot,Very Useful,Very Useful,Very Useful,Moderately Useful,Moderately Useful,Moderately Useful
